Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
2008,Beijing,Aquatics,Swimming,"MURPHY, Patrick",AUS,Men,4X100M Freestyle Relay,Bronze
1924,Paris,Athletics,Athletics,"MACDONALD, J. Oliver",USA,Men,4X400M Relay,Gold
1984,Los Angeles,Handball,Handball,"ANASTASOVSKI, Svetlana",YUG,Women,Handball,Gold
1972,Munich,Basketball,Basketball,"CALDERON GOMEZ, Miguel",CUB,Men,Basketball,Bronze
1904,St Louis,Football,Football,"STEEP, Frederick",CAN,Men,Football,Gold
2000,Sydney,Baseball,Baseball,"LINARES, Omar",CUB,Men,Baseball,Silver
1972,Munich,Fencing,Fencing,"RIGOLI, Rolando",ITA,Men,Sabre Team,Gold
2000,Sydney,Handball,Handball,"KOUZELEV, Dmitri",RUS,Men,Handball,Gold
1980,Moscow,Canoe / Kayak,Canoe / Kayak F,"POSTREKHIN, Sergei",URS,Men,C-1 500M (Canoe Single),Gold
2012,London,Sailing,Sailing,"WESTERHOF, Lisa",NED,Women,470,Bronze
2012,London,Badminton,Badminton,"ZHAO, Yunlei",CHN,Women,Doubles,Gold
2004,Athens,Equestrian,Eventing,"BRAKEWELL, Jeanette",GBR,Women,Team,Silver
1980,Moscow,Rowing,Rowing,"KRÖPPELIEN, Klaus",GDR,Men,Double Sculls (2X),Gold
2000,Sydney,Weightlifting,Weightlifting,"OGBEIFO, Ruth",NGR,Women,75KG,Silver
1996,Atlanta,Athletics,Athletics,"ROBINSON, Garth",JAM,Men,4X400M Relay,Bronze
2000,Sydney,Rowing,Rowing,"MADSEN, Soren",DEN,Men,Lightweight Coxless Four (4-),Bronze
1992,Barcelona,Aquatics,Water polo,"MICHAVILA JOVER, Ruben",ESP,Men,Water Polo,Silver
1960,Rome,Wrestling,Wrestling Gre-R,"SAYED, Osman",EGY,Men,- 52KG (Flyweight),Silver
1924,Paris,Athletics,Athletics,"NURMI, Paavo",FIN,Men,Cross Country Individual,Gold
2004,Athens,Volleyball,Volleyball,"SANTANA, Rodrigo",BRA,Men,Volleyball,Gold
1992,Barcelona,Wrestling,Wrestling Free.,"SMITH, John",USA,Men,57 - 62KG (Featherweight),Gold
1980,Moscow,Football,Football,"SULAKVELIDZE, Tengiz",URS,Men,Football,Bronze
1992,Barcelona,Basketball,Basketball,"KURTINAITIS, Rimas",LTU,Men,Basketball,Bronze
2004,Athens,Gymnastics,Rhythmic G.,"TCHACHINA, Irina",RUS,Women,Individual All-Round,Silver
2008,Beijing,Cycling,Mountain Bike,"WLOSZCZOWSKA, Maja",POL,Women,Cross-Country,Silver
1976,Montreal,Athletics,Athletics,"NEWHOUSE, Frederick Vaughn",USA,Men,400M,Silver
1984,Los Angeles,Athletics,Athletics,"EVANGELISTI, Giovanni",ITA,Men,Long Jump,Bronze
1988,Seoul,Gymnastics,Artistic G.,"SATO, Toshiharu",JPN,Men,Team Competition,Bronze
1996,Atlanta,Hockey,Hockey,"BOVELANDER, Floris Jan",NED,Men,Hockey,Gold
2004,Athens,Aquatics,Swimming,"KELLER, Klete",USA,Men,400M Freestyle,Bronze
1984,Los Angeles,Rowing,Rowing,"VAN DROGENBROEK, Marieke",NED,Women,Eight With Coxswain (8+),Bronze
2012,London,Canoe,Canoe Sprint,"LARSEN, Eirik Veraas",NOR,Men,K-1 1000M,Gold
1900,Paris,Archery,Archery,"HEROUIN, Henri",FRA,Men,"Au Cordon Doré, 50M",Gold
1912,Stockholm,Sailing,Sailing,"SÄLLSTRÖM, Richard",SWE,Men,12M,Silver
1956,Melbourne / Stockholm,Aquatics,Swimming,"BREEN, George Thomas",USA,Men,400M Freestyle,Bronze
1924,Paris,Gymnastics,Artistic G.,"PFISTER, Otto",SUI,Men,Team Competition,Bronze
2000,Sydney,Baseball,Baseball,"ULACIA, Luis",CUB,Men,Baseball,Silver
1952,Helsinki,Fencing,Fencing,"RÜFENACHT, Otto",SUI,Men,Épée Team,Bronze
1924,Paris,Sailing,Sailing,"HUYBRECHTS, Léon",BEL,Men,Olympic Class Monotype,Gold
1912,Stockholm,Tug of War,Tug of War,"ANDERSSON, Arvid Leander",SWE,Men,Tug Of War,Gold
1924,Paris,Tennis,Tennis,"VLASTO, Julie P.",FRA,Women,Singles,Silver
2012,London,Sailing,Sailing,"XU, Lijia",CHN,Women,Laser Radial,Gold
1992,Barcelona,Hockey,Hockey,"HENTSCHEL, Franziska",GER,Women,Hockey,Silver
2004,Athens,Aquatics,Swimming,"HALL, Gary Jr.",USA,Men,4X100M Freestyle Relay,Bronze
1948,London,Aquatics,Swimming,"ANDERSEN, Greta Marie",DEN,Women,100M Freestyle,Gold
1976,Montreal,Volleyball,Volleyball,"MOLIBOGA, Oleg",URS,Men,Volleyball,Silver
1928,Amsterdam,Gymnastics,Artistic G.,"MIEZ, Georges",SUI,Men,Team Competition,Gold
2004,Athens,Sailing,Sailing,"LIVBJERG, Signe",DEN,Women,Single-Handed Dinghy (Europe),Bronze
1964,Tokyo,Aquatics,Water polo,"MAYER, Mihaly",HUN,Men,Water Polo,Gold
1924,Paris,Shooting,Shooting,"SVENSSON, Karl-Gustaf E.",SWE,Men,"100M Running Deer, Double Shots, Team",Bronze
1992,Barcelona,Canoe / Kayak,Canoe / Kayak F,"KOTOWICZ, Grzegorz",POL,Men,K-2 1000M (Kayak Double),Bronze
1972,Munich,Aquatics,Swimming,"ATWOOD, Susanne Jean",USA,Women,200M Backstroke,Silver
1928,Amsterdam,Aquatics,Swimming,"SADA, Tokuhei",JPN,Men,4X200M Freestyle Relay,Silver
1928,Amsterdam,Gymnastics,Artistic G.,"VAN DEN BERG, Jacomina",NED,Women,Team Competition,Gold
1976,Montreal,Wrestling,Wrestling Gre-R,"WEHLING, Heinz-Helmut",GDR,Men,62 - 68KG (Lightweight),Bronze
2012,London,Fencing,Fencing,"GU, Bongil",KOR,Men,Sabre Team,Gold
2008,Beijing,Taekwondo,Taekwondo,"PUEDPONG, Buttree",THA,Women,- 49 KG,Silver
2008,Beijing,Basketball,Basketball,"PONDEXTER, Cappie",USA,Women,Basketball,Gold
1948,London,Boxing,Boxing,"FORMENTI, Ernesto",ITA,Men,54 - 58KG (Featherweight),Gold
2008,Beijing,Badminton,Badminton,"ZHANG, Yawen",CHN,Women,Doubles,Bronze
1932,Los Angeles,Hockey,Hockey,"KOBAYASHI, Sadayoshi",JPN,Men,Hockey,Silver
1976,Montreal,Basketball,Basketball,"GOLTCHEVA, Nadka",BUL,Women,Basketball,Bronze
1904,St Louis,Cycling,Cycling Track,"DOWNING, Burton",USA,Men,1/2 Mile (804.7M),Bronze
1968,Mexico,Aquatics,Swimming,"NELSON, John Mauer",USA,Men,200M Freestyle,Bronze
1980,Moscow,Athletics,Athletics,"AKSININ, Aleksandr",URS,Men,4X100M Relay,Gold
1956,Melbourne / Stockholm,Fencing,Fencing,"GEREVICH, Aladar",HUN,Men,Sabre Team,Gold
2012,London,Hockey,Hockey,"DEL COLLE, Laura",ARG,Women,Hockey,Silver
2004,Athens,Aquatics,Swimming,"THOMAS, Petria",AUS,Women,4X100M Medley Relay,Gold
1956,Melbourne / Stockholm,Sailing,Sailing,"KENNEDY-COCHRAN-PATRICK, Neil Aylmer",GBR,Men,5.5M,Silver
2000,Sydney,Volleyball,Volleyball,"PETKOVIC, Veljko",YUG,Men,Volleyball,Gold
2012,London,Canoe,Canoe Sprint,"KOROVASHKOV, Alexey",RUS,Men,C-2 1000M,Bronze
1900,Paris,Tennis,Tennis,"DE LA CHAPELLE, Georges",FRA,Men,Doubles,Bronze
1992,Barcelona,Boxing,Boxing,"MARCELO GARCIA, Rogelio",CUB,Men,- 48KG (Light-Flyweight),Gold
1996,Atlanta,Fencing,Fencing,"SZABO-LAZAR, Reka Zsofia",ROU,Women,Foil Team,Silver
2012,London,Aquatics,Swimming,"CSEH, Laszlo",HUN,Men,200M Medley,Bronze
1912,Stockholm,Gymnastics,Artistic G.,"JANSE, Axel Johan",SWE,Men,"Team, Swedish System",Gold
1956,Melbourne / Stockholm,Basketball,Basketball,"OZEROV, Yuri",URS,Men,Basketball,Silver
1996,Atlanta,Wrestling,Wrestling Gre-R,"MOUREIKO, Serguei",MDA,Men,100 - 130KG (Super Heavyweight),Bronze
1912,Stockholm,Shooting,Shooting,"HENDRICKSON, John H.",USA,Men,"Clay Pigeons, Team",Gold
2000,Sydney,Football,Football,"FRENCH, Michelle",USA,Women,Football,Silver
2004,Athens,Canoe / Kayak,Canoe / Kayak F,"WAGNER-AUGUSTIN, Katrin",GER,Women,K-4 500M (Kayak Four),Gold
2000,Sydney,Judo,Judo,"GIOVINAZZO, Girolamo",ITA,Men,60 - 66KG (Half-Lightweight),Bronze
1984,Los Angeles,Boxing,Boxing,"NDONGO-EBANGA, Martin",CMR,Men,57 - 60KG (Lightweight),Bronze
2008,Beijing,Handball,Handball,"DMITRIEVA, Elena",RUS,Women,Handball,Silver
2004,Athens,Hockey,Hockey,"DERIKX, Rob",NED,Men,Hockey,Silver
1992,Barcelona,Baseball,Baseball,"CHEN, Chi-Hsin",TPE,Men,Baseball,Silver
2008,Beijing,Judo,Judo,"POLAVDER, Lucija",SLO,Women,+ 78KG (Heavyweight),Bronze
1980,Moscow,Hockey,Hockey,"GORBATKOVA, Nelli",URS,Women,Hockey,Bronze
1996,Atlanta,Gymnastics,Artistic G.,"GOGEAN, Gina Elena",ROU,Women,Individual All-Round,Silver
1976,Montreal,Rowing,Rowing,"REICHE, Rüdiger",GDR,Men,Quadruple Sculls Without Coxswain (4X),Gold
2004,Athens,Aquatics,Water polo,"YURCHIK, Vitaly",RUS,Men,Water Polo,Bronze
1996,Atlanta,Canoe / Kayak,Canoe / Kayak F,"ROSSI, Antonio",ITA,Men,K-1 500M (Kayak Single),Gold
1996,Atlanta,Rowing,Rowing,"ROLLAND, Jean Christophe",FRA,Men,Coxless Pair (2-),Bronze
2008,Beijing,Volleyball,Volleyball,"YANG, Hao",CHN,Women,Volleyball,Bronze
2000,Sydney,Volleyball,Volleyball,"TETYUKHIN, Sergey",RUS,Men,Volleyball,Silver
1996,Atlanta,Archery,Archery,"BISIANI, Matteo",ITA,Men,Team (Fita Olympic Round - 70M),Bronze
1928,Amsterdam,Sailing,Sailing,"SCHLÜTTER, P.",DEN,Men,6M,Silver
2000,Sydney,Handball,Handball,"LINDGREN, Ola",SWE,Men,Handball,Silver
1956,Melbourne / Stockholm,Athletics,Athletics,"JOHNSON, Derek James Neville",GBR,Men,800M,Silver
2000,Sydney,Basketball,Basketball,"SCIARRA, Laurent",FRA,Men,Basketball,Silver
1948,London,Gymnastics,Artistic G.,"DALTON, Dorothy Catherine",USA,Women,Team Competition,Bronze
1992,Barcelona,Cycling,Cycling Road,"GAUMONT, Philippe",FRA,Men,Team Time Trial,Bronze
1912,Stockholm,Aquatics,Diving,"REGNELL, Lisa",SWE,Women,10M Platform,Silver
1980,Moscow,Rowing,Rowing,"DMITRIENKO, Grigori",URS,Men,Eight With Coxswain (8+),Bronze
2004,Athens,Wrestling,Wrestling Free.,"GOMIS, Anna",FRA,Women,48 - 55KG,Bronze
1992,Barcelona,Sailing,Sailing,"VIA DUFRESNE, Natalia",ESP,Women,Single-Handed Dinghy (Europe),Silver
1912,Stockholm,Rowing,Rowing,"FLEMING, Philip",GBR,Men,Eight With Coxswain (8+),Gold
2004,Athens,Football,Football,"GILARDINO, Alberto",ITA,Men,Football,Bronze
1924,Paris,Gymnastics,Artistic G.,"GUTWENINGER, Jean",SUI,Men,Team Competition,Bronze
1976,Montreal,Cycling,Cycling Road,"LUND, Jorn",DEN,Men,Team Time Trial,Bronze
2008,Beijing,Judo,Judo,"BOSCH, Edith",NED,Women,63 - 70KG (Middleweight),Bronze
1980,Moscow,Athletics,Athletics,"RUKAVISHNIKOVA, Olga",URS,Women,Pentathlon,Silver
1912,Stockholm,Athletics,Athletics,"BYRD, Richard Leslie",USA,Men,Discus Throw,Silver
1952,Helsinki,Wrestling,Wrestling Gre-R,"GUREVICH, Boris",URS,Men,- 52KG (Flyweight),Gold
2004,Athens,Table Tennis,Table Tennis,"KIM, Hyang Mi",PRK,Women,Singles,Silver
2012,London,Boxing,Boxing,"JOSHUA, Anthony",GBR,Men,+ 91KG,Gold
1972,Munich,Aquatics,Water polo,"SHMUDSKY, Vladimir",URS,Men,Water Polo,Gold
1952,Helsinki,Fencing,Fencing,"MANGIAROTTI, Dario",ITA,Men,Épée Individual,Silver
